id,losovani_id,poslanec_id,ministr_id,vec
5449,226,360,5383,ve věci postupu policie při vyšetřování kauzy Mlynář
5450,226,5256,389,ve věci likvidace munice Armády ČR
5451,226,5256,5391,ve věci rámcové smlouvy vlády ČR s Č. Telecomem ze dne 23. 10. 2001
5452,226,5256,237,"ve věci ""úmrtnosti"" náměstků ministra financí"
5453,226,5256,5326,ve věci odvolání generálního ředitele České správy letišť
5454,226,5259,5391,ve věci provozovatelů WI-FI
5455,226,5306,422,ve věci využitelnosti výkazů MPO požadovaných po MSP
5456,226,5256,211,ve věci výměny ředitele nemocnice Bulovka
5457,226,345,16,ve věci financování žáků se speciálními potřebami
5458,226,371,422,ve věci zbytkových státních firem
5459,226,345,16,ve věci konkurzu na ředitele vých. ústavu v Jihočes. kr.
5460,226,371,237,ve věci zbytkových státních firem
5461,226,345,16,ve věci postižených sportovců
5462,226,5378,295,ve věci ratifikace mezinárodních smluv
5463,226,421,211,ve věci lékové vyhlášky
5464,227,347,5326,ve věci výdajů na silniční infrastrukturu
5465,229,5260,5384,ve věci konkurzů byt. družstev - přílsib šetření stavu
5466,229,347,5384,ve věci ceny elektřiny
5467,227,266,5383,ve věci rušení obvodních oddělení
5468,227,266,5383,ve věci inventarizačního schodku Policejního prezidia
5469,227,266,5383,ve věci dalších pochybení při přezbrojování PČR
5470,227,421,211,ve věci letecké záchranné služby
5471,227,5306,403,ve věci stavu konkurz. řízení Pojišťovny a.s. Morava
5472,227,5375,211,ve věci financování IZPE
5473,227,371,237,ve věci sekání trávy na státních pozemcích
5474,227,345,16,ve věci financování postižených žáků
5475,227,371,5383,ve věci byrokracie při vydávání cestovních pasů
5476,227,348,5383,ve věci úplatnosti policistů odposlouchávání policie
5477,227,345,16,ve věci postižených sportovců
5478,229,5253,5384,ve věci majetku oprávněných osob z transformace zem.
5479,229,372,5384,ve věci financování APZ
5480,229,437,5384,ve věci podniku ČEPRO
5481,229,437,5384,ve věci slibů vůči Moravskoslezskému kraji
5482,230,31,237,ve věci nového místa pro RFEIRL
5483,230,361,416,ve věci akce Českého centra ve Vídni proti komunismu
5484,231,31,5384,ve věci kanceláře SKSISL
5485,230,5256,416,ve věci angažovanosti ČR v rámci EU ve vztahu k lidským právům na Kubě
5486,230,5256,5402,ve věci zvyšování procenta výdajů na kulturu ve státním rozpočtu
5487,230,5256,396,ve věci nákladů České republiky v případě úspěchu žalob majitelů domů ve Štrasburku
5488,230,5256,5326,ve věci statutu přístupové komunikace k místu konání Czechtek 2005
5489,230,5256,5326,ve věci zpoplatnění krátkých a nenavazujících úseků dálnic
5490,230,5256,16,ve věci stabilizace situace v českém paralympijském hnutí
5491,230,360,239,ve věci splacení půjčky od České pošty
5492,230,360,5383,ve věci výbušnin používaných policií při Czechteku
5493,230,360,239,ve věci postavení matek pečujících o postižené dítě
5494,230,266,5383,ve věci konzultací k policejnímu prezidentovi
5495,230,266,5383,ve věci nákladů na policejní zákrok
5496,230,266,5383,ve věci výroků k akci Czechteku
5497,230,136,295,ve věci zrušení souhlasu s výstavbou obchvatu Frýdek-M
5498,230,136,5326,ve věci zrušení poplatku na R56 z Ostravy do Frýdku-M.
5499,230,136,422,ve věci uzavření teplé válcovny ve válcovně plechů FM
5500,230,111,389,ve věci Vojenské střední školy ve Vyškově
5501,230,5256,211,ve věci nákupu zařízení pro nemocnici v Olomouci
5502,230,5301,5383,ve věci stanoviska ministra k útěku podnikatele Příplaty
5503,230,5273,403,ve věci formulářů pro zápisy do obchodních rejstříků
5504,230,371,5383,ve věci policejního zásahu v Mošnově
5505,230,406,239,ve věci reformy důchodového systému
5506,230,372,5326,ve věci zpoplatnění R56
5507,230,406,211,ve věci dietních potravin při celiakii a fenylketonurii
5508,230,348,5383,ve věci prodeje majetku MV v Nýrsku
5509,230,347,389,ve věci ceny prodaných nadzvukových letadel
5510,231,347,5384,ve věci vývoje cen elektřiny pro domácnosti
5511,231,371,5384,ve věci reakce vlády na zdražení energií
5512,231,437,5384,ve věci způsobu práce této vlády
5513,231,401,5384,ve věci program. prohl. vlády
5514,231,406,5384,ve věci reformy důchodového systému
5515,231,111,5384,ve věci rétoriky předsedy vlády
5516,231,111,5384,ve věci veřejných zakázek na ministerstvo obrany
5517,231,421,5384,ve věci platů zdravotníků
5518,231,266,5384,ve věci výroků předsedy vlády k Czechteku
5519,231,266,5384,ve věci výroků předsedy vlády ČR
