id,bod,datum,votes_pro,votes_proti,votes_zdrzel,votes_nehlasoval,prihlaseno,vysledek,nazev
53564,39,1299279600,77,106,4,0,187,R,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53565,39,1299279600,123,10,28,22,183,A,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53566,39,1299279600,108,76,3,0,187,A,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53567,0,1301954400,79,61,7,4,151,A,Po%u0159ad%20sch%u016Fze
53568,0,1301954400,88,62,7,1,158,A,Po%u0159ad%20sch%u016Fze
53569,49,1301954400,71,98,9,1,179,R,Vl.n.z.%20v%20souvislosti%20s%20%FAsporn%FDmi%20opat%u0159en%EDmi%20v%20p%u016Fsob.%20MPSV
53570,49,1301954400,166,3,11,1,181,A,Vl.n.z.%20v%20souvislosti%20s%20%FAsporn%FDmi%20opat%u0159en%EDmi%20v%20p%u016Fsob.%20MPSV
53571,0,1304546400,80,48,3,5,136,A,Po%u0159ad%20sch%u016Fze
53572,0,1304546400,130,2,5,1,138,A,Po%u0159ad%20sch%u016Fze
53573,0,1304546400,133,1,2,3,139,A,Po%u0159ad%20sch%u016Fze
53574,100,1304546400,134,0,8,0,142,A,Zpr%E1va%20o%20kontrole%20v%FDro%u010Dn%EDch%20fin.%20zpr%E1v%20pol.%20stran%20a%20hnut%ED%202010
53575,101,1304546400,128,1,12,0,141,A,Dopln%u011Bn%ED%20v%FDro%u010Dn%EDch%20fin.%20zpr%E1v%20pol.%20stran%20a%20hnut%ED%202005-2009
53576,99,1304546400,128,1,17,2,148,A,N%E1vrh%20harmonogramu%20projedn%E1v%E1n%ED%20St%E1tn%EDho%20z%E1v%u011Bre%u010Dn%E9ho%20%FA%u010Dtu%202010
