id,titul_pred,prijmeni,jmeno,titul_za,poslanec_2010,preferencni,novacek,interpelace_source_count,interpelace_target_count,zakony_predkladatel_count,absence_count,nazor_count,possible_votes_count,vystoupeni_count,strana_id,kraj_id,from_date,to_date,activity_index
105,JUDr.,Matulka,Dalibor, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
106, ,Mazalová,Gerta, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
107, ,Melichar,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
108,Ing.,Motyčka,Ludvík, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
109,JUDr.,Navrátil,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
110,Mgr.,Nájemník,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
111,RNDr.,Nečas,Petr, ,1,0,0,0,718,2,2018,1839,4434,126,1,4,1275084000,0,301
112,Ing.,Nedorost,Ladislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
113,PhDr.,Němčík,Jindřich, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
114,Ing.,Němec,Luboš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
115,MUDr.,Novák,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
116,JUDr.,Novák,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
117,Ing.,Novák,Libor, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
118,JUDr.,Novák,Libor, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
119,MUDr.,Nováková,Eva, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
120, ,Novotný,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
121,Ing.,Opatřil,Rudolf, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
122,Ing.,Orgoníková,Hana, ,1,0,0,4,0,32,1165,2535,4434,47,2,5,1275084000,0,236
123,JUDr.,Ortman,Jaroslav,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
124,Ing.,Palas,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
125,Ing.,Pavela,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
126,PhDr.,Pavlíková,Jiřina, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
127,RNDr.,Payne,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
128,RNDr.,Páv,Tomáš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
129,Ing.,Pešek,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
130,JUDr. Ing.,Petržílek,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
131,Mgr.,Pěnička,Stanislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
132,MUDr.,Pluhař,František, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
133,Ing.,Procházka,Vladimír,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
134,PhDr.,Přibáň,Martin, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
135,Ing.,Raška,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
136,RSDr. Ing.,Recman,Svatomír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
137,MUDr.,Rubáš,Luděk, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
138,MUDr.,Rymeš,Ladislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
139,JUDr.,Röschová,Anna, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
140,JUDr.,Řezáč,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
141,PhDr.,Řezníček,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
142,Mgr.,Seifer,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
143,Bc.,Severa,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
144,Ing.,Skočovský,Miloš,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
145,"",Sochor,Antonín,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
146,Ing.,Sochor,Vítězslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
147,Ing.,Sojka,Tomáš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
148,PaedDr.,Soural,Jaroslav,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
149,MUDr.,Stadler,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
150,Doc. RNDr.,Stiborová,Marie,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
151,JUDr.,Stodůlka,Zbyšek, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
152,PhDr.,Stráský,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
153, ,Svoboda,Tomáš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
